kind,trade_id,symbol,exec_date,exec_price,shares,buy_date,buy_price,buy_fee,sell_fee,gross_pnl,net_pnl,net_return_pct,hold_days,exit_reason,sig_buy_sig_date,sig_buy_sig_w_close,sig_buy_mtf_score,sig_buy_emasma_score,sig_buy_early_score,sig_buy_near_score,sig_buy_gap_w,sig_buy_atr_dist,sig_buy_freshness_days,sig_sell_sig_date,sig_sell_sig_w_close,sig_sell_mtf_score,sig_sell_emasma_score,sig_sell_early_score,sig_sell_near_score,sig_sell_gap_w,sig_sell_atr_dist,sig_sell_freshness_days
SELL,284,SPY,2025-09-30,657.45,52.55,2025-09-23,661.21,17.37,17.28,-197.6,-214.87,-0.62,5,rotation (out of top-N),2025-09-22,656.35,1.0,2.19,1.7,4.9,10.93,0.32,105,2025-09-29,663.68,1.0,2.36,1.5,4.7,11.8,0.39,112
SELL,285,EFA,2025-10-07,91.82,384.52,2025-09-30,89.81,17.27,17.65,772.88,755.22,2.19,5,rotation (out of top-N),2025-09-29,91.93,0.8,2.38,1.4,4.6,11.89,0.32,231,2025-10-06,89.19,0.7,1.6,1.6,4.9,7.99,0.47,238
SELL,286,XLU,2025-10-28,45.04,799.46,2025-10-07,44.14,17.64,18.0,719.51,701.51,1.99,15,rotation (out of top-N),2025-10-06,44.17,1.1,2.41,1.4,4.2,12.07,0.82,574,2025-10-27,43.63,1.1,1.85,1.5,4.5,9.24,0.91,595
SELL,287,SPY,2025-12-09,677.5,51.16,2025-10-14,651.74,16.67,17.33,1317.93,1300.6,3.9,39,rotation (out of top-N),2025-10-13,658.9,1.2,2.06,1.5,4.2,10.28,1.1,126,2025-12-08,676.13,0.8,2.02,1.5,4.7,10.12,0.44,182
SELL,288,VTI,2025-12-09,333.32,99.97,2025-10-21,327.88,16.39,16.66,543.86,527.2,1.61,34,rotation (out of top-N),2025-10-20,330.78,1.1,2.41,1.4,4.3,12.04,0.71,126,2025-12-08,333.04,0.8,2.05,1.5,4.7,10.25,0.48,175
SELL,289,SCHB,2025-11-18,25.18,1369.41,2025-10-28,26.28,17.99,17.24,-1506.35,-1523.59,-4.23,15,rotation (out of top-N),2025-10-27,26.06,0.9,2.46,1.4,4.5,12.29,0.43,133,2025-11-17,25.12,1.1,1.48,1.6,4.5,7.4,1.11,154
SELL,290,XLV,2025-12-02,153.28,242.14,2025-11-11,145.73,17.64,18.56,1828.13,1809.57,5.13,14,rotation (out of top-N),2025-11-10,149.91,2.4,2.01,3.8,5.7,10.05,0.93,42,2025-12-01,151.32,2.0,2.09,2.4,5.4,10.46,0.74,63
SELL,291,IWM,2026-02-10,266.12,150.12,2025-11-18,229.58,17.23,19.98,5485.44,5465.47,15.86,56,rotation (out of top-N),2025-11-17,233.84,1.1,1.54,1.6,4.5,7.72,1.11,119,2026-02-09,261.87,1.0,2.31,1.4,4.4,11.55,0.68,203
SELL,292,SCHB,2025-12-09,26.09,1424.53,2025-12-02,26.04,18.55,18.58,71.23,52.64,0.14,5,rotation (out of top-N),2025-12-01,26.21,0.9,2.25,1.4,4.5,11.23,0.5,168,2025-12-08,26.07,0.8,2.03,1.5,4.7,10.13,0.44,175
SELL,293,XLV,2026-01-27,154.48,233.37,2025-12-09,150.07,17.51,18.03,1029.16,1011.13,2.89,32,rotation (out of top-N),2025-12-08,152.11,1.8,2.18,2.3,5.3,10.9,0.65,70,2026-01-26,153.43,0.9,1.88,1.5,4.6,9.42,0.64,119
