kind,trade_id,symbol,exec_date,exec_price,shares,buy_date,buy_price,buy_fee,sell_fee,gross_pnl,net_pnl,net_return_pct,hold_days,exit_reason,sig_buy_sig_date,sig_buy_sig_w_close,sig_buy_mtf_score,sig_buy_emasma_score,sig_buy_early_score,sig_buy_near_score,sig_buy_gap_w,sig_buy_atr_dist,sig_buy_freshness_days,sig_sell_sig_date,sig_sell_sig_w_close,sig_sell_mtf_score,sig_sell_emasma_score,sig_sell_early_score,sig_sell_near_score,sig_sell_gap_w,sig_sell_atr_dist,sig_sell_freshness_days
SELL,90,TSLA,2024-11-26,341.08,666.58,2024-11-19,335.76,111.91,113.68,3542.87,3429.2,1.53,5,rotation (out of top-N),2024-11-18,352.67,6.0,5,-1,0.0,65.76,4.44,133,2024-11-25,345.13,5.3,5,-1.0,0.7,59.35,3.43,140
SELL,91,APP,2025-01-14,324.06,721.11,2024-11-26,325.41,117.33,116.84,-973.5,-1090.34,-0.46,31,rotation (out of top-N),2024-11-25,336.69,6,5,-1,0.0,195.66,4.55,567,2025-01-13,342.5,5.9,5,-1,0.1,111.14,4.42,616
SELL,92,TPL,2024-12-03,502.4,450.84,2024-11-26,520.49,117.33,113.25,-8155.68,-8268.93,-3.52,4,rotation (out of top-N),2024-11-25,528.0,6,5,-1,0.0,94.03,5.89,231,2024-12-02,442.65,5.0,5,-0.9,0.9,58.7,3.13,238
SELL,93,XYZ,2024-12-10,96.42,2466.08,2024-12-03,91.85,113.25,118.89,11270.0,11151.11,4.92,5,rotation (out of top-N),2024-12-02,98.27,5.4,5,2.7,2.5,37.44,3.06,28,2024-12-09,92.03,4.6,5,3.0,2.8,28.21,2.68,35
SELL,94,WBD,2024-12-17,11.44,22483.95,2024-12-10,10.57,118.83,128.55,19448.61,19320.06,8.13,5,rotation (out of top-N),2024-12-09,12.07,6.1,5,2.3,2.2,45.27,3.45,28,2024-12-16,10.71,4.9,5,3.0,2.5,28.0,3.16,35
SELL,95,PLTR,2025-01-07,75.19,3286.02,2024-12-17,73.35,120.51,123.54,6046.28,5922.74,2.46,13,rotation (out of top-N),2024-12-16,80.63,5.7,5,-1,0.3,123.47,4.12,616,2025-01-06,67.26,5.1,5,-1,0.9,68.22,3.11,637
SELL,96,HOOD,2024-12-24,38.04,5707.54,2024-12-17,42.23,120.51,108.56,-23914.6,-24023.16,-9.97,5,rotation (out of top-N),2024-12-16,38.36,5.3,5,-1,0.7,61.0,3.41,371,2024-12-23,39.02,5.6,5,-1,0.4,60.28,3.85,378
SELL,97,TSLA,2025-01-14,414.77,498.12,2024-12-24,435.92,108.57,103.3,-10532.67,-10635.97,-4.9,12,rotation (out of top-N),2024-12-23,431.7,6,5,-1,0.0,79.32,4.79,168,2025-01-13,426.55,5.3,5,-1,0.7,64.85,3.49,189
SELL,98,VST,2025-01-28,140.51,1522.61,2025-01-07,162.18,123.47,106.97,-32995.02,-33101.99,-13.41,13,rotation (out of top-N),2025-01-06,165.73,5.3,5,-0.8,0.5,55.79,3.79,665,2025-01-27,166.83,5.3,5,-0.3,0.0,45.83,10.34,686
SELL,99,PLTR,2025-03-18,85.61,3274.58,2025-01-14,67.18,109.99,140.16,60334.23,60194.07,27.36,43,rotation (out of top-N),2025-01-13,71.77,5.6,5,-1,0.4,74.15,3.91,644,2025-03-17,90.97,5.7,5,-0.9,0.3,58.89,4.1,707
SELL,100,HOOD,2025-02-11,55.91,5259.06,2025-01-14,41.83,109.99,147.02,74047.61,73900.59,33.59,19,rotation (out of top-N),2025-01-13,48.12,5.6,5,-1,0.4,83.88,3.94,399,2025-02-10,65.28,5.1,5,-1,0.9,117.18,3.19,427
SELL,101,APP,2025-03-04,322.1,614.5,2025-01-28,348.17,106.97,98.97,-16017.02,-16115.99,-7.53,24,rotation (out of top-N),2025-01-27,369.55,6,5,-1,0.0,108.76,4.64,630,2025-03-03,270.45,4.3,5,0.7,0.4,26.22,6.95,665
SELL,102,UBER,2025-02-25,76.36,3725.24,2025-02-11,78.88,146.92,142.23,-9387.61,-9529.84,-3.24,9,rotation (out of top-N),2025-02-10,79.42,5.5,2.65,4.3,3.8,13.24,4.26,0,2025-02-24,76.0,3.9,1.48,4.4,5.3,7.41,2.65,14
SELL,103,HOOD,2025-03-18,40.8,5991.41,2025-02-25,47.45,142.16,122.24,-39842.85,-39965.09,-14.06,15,rotation (out of top-N),2025-02-24,50.09,5.9,5,-0.9,0.0,58.57,5.34,441,2025-03-17,44.36,4.4,5,0.3,0.3,33.83,4.03,462
SELL,104,MNST,2025-03-18,56.15,3572.09,2025-03-04,55.4,98.94,100.29,2696.92,2596.64,1.31,10,rotation (out of top-N),2025-03-03,55.05,4.2,1.62,4.5,5.2,8.09,2.8,7,2025-03-17,57.31,3.1,2.38,4.1,5.6,11.89,1.34,21
SELL,105,CSGP,2025-03-25,79.72,3039.73,2025-03-18,79.47,120.79,121.16,729.53,608.38,0.25,5,rotation (out of top-N),2025-03-17,78.46,3.3,0.74,4.6,6.0,3.7,2.05,14,2025-03-24,79.33,2.9,0.93,4.4,6.2,4.67,1.5,21
SELL,106,VRTX,2025-03-25,509.56,473.5,2025-03-18,510.2,120.79,120.64,-303.04,-423.68,-0.18,5,rotation (out of top-N),2025-03-17,503.13,3.4,1.51,4.5,6.0,7.53,1.72,7,2025-03-24,492.29,2.8,1.01,4.5,6.5,5.07,1.15,14
SELL,107,CVS,2025-04-01,64.9,3782.4,2025-03-18,63.87,120.79,122.74,3895.88,3773.14,1.56,10,rotation (out of top-N),2025-03-17,64.03,3.5,3.58,3.6,4.7,17.92,1.57,28,2025-03-31,60.8,2.8,2.25,3.7,5.2,11.26,1.41,42
SELL,108,AWK,2025-04-08,137.82,1785.73,2025-03-25,135.37,120.87,123.05,4375.05,4251.99,1.76,10,rotation (out of top-N),2025-03-24,141.65,3.1,1.67,4.5,6.2,8.37,1.22,7,2025-04-07,141.41,4.5,1.48,4.3,4.4,7.41,3.79,21
SELL,109,ZBH,2025-04-01,111.34,2195.39,2025-03-25,110.11,120.87,122.22,2700.34,2578.12,1.07,5,rotation (out of top-N),2025-03-24,110.82,3.1,0.84,4.8,6.7,4.18,1.32,0,2025-03-31,106.3,2.5,-0.01,4.9,7.2,-0.06,0.97,7
SELL,110,VRTX,2025-04-08,477.25,503.69,2025-04-01,486.07,122.42,120.2,-4442.57,-4562.77,-1.86,5,rotation (out of top-N),2025-03-31,474.38,3.1,0.24,4.6,6.1,1.22,2.14,21,2025-04-07,484.0,4.7,0.64,4.4,4.2,3.22,4.59,28
SELL,111,WRB,2025-04-08,64.15,3542.14,2025-04-01,69.12,122.42,113.61,-17604.43,-17718.04,-7.24,5,rotation (out of top-N),2025-03-31,63.71,3.1,2.21,1.4,2.4,11.06,3.78,553,2025-04-07,66.72,3.4,3.09,1.2,1.8,15.47,4.0,560
SELL,112,NEM,2025-04-29,52.86,5180.94,2025-04-08,45.89,118.88,136.93,36111.12,35974.19,15.13,14,rotation (out of top-N),2025-04-07,54.13,6.0,3.84,4.0,3.1,19.22,5.73,0,2025-04-28,50.75,3.5,2.1,4.1,5.2,10.48,2.06,21
SELL,113,AMT,2025-04-15,211.48,1147.35,2025-04-08,207.22,118.88,121.32,4887.7,4766.38,2.0,5,rotation (out of top-N),2025-04-07,205.56,4.7,0.71,4.7,4.9,3.55,3.99,7,2025-04-14,214.74,3.2,1.59,4.4,5.9,7.95,1.62,14
SELL,114,CVS,2025-04-15,66.32,3501.52,2025-04-08,67.9,118.88,116.11,-5532.4,-5648.51,-2.38,5,rotation (out of top-N),2025-04-07,66.46,5.2,4.17,3.1,2.1,20.84,5.06,49,2025-04-14,64.22,3.0,3.25,3.3,4.3,16.25,1.73,56
